2300723,team-ldlc,ldlc white,44
2300271,gamers2,g2,50
2300274,gamers2,g2,50
2302059,na'vi,natus vincere,60
2302059,na`vi,natus vincere,60
2303040, gaming,hellraisers,33
2306106,for the win g2a.,alternate attax,37
2306106,for the win,alternate attax,36
2306608,cloud9,tyloo,40
2306608,flipsid3,tyloo,20
2306610,echofox,faze,29
2306610,tyloo,immortals,44
2306611,renegades,flipsid3,15
2306611,team solomid,flipsid3,43
2306612,echofox,tyloo,40
2306612,flipsid3,tyloo,20
2306613,immortals,tsm,40
2306613,team solomid,tsm,33
2306616,immortals,renegades,33
2306617,tyloo,immortals,44
2306617,echofox,cloud9,33
2305441,italy,exaequo,20
2305446,team romania cs:go,5frags,33
2305449,italy,athletico,25
2305458,finland iesf,ence,29
2305458,finland,ence,25
2305464,finland iesf,ence,29
2305464,italy,exaequo,20
2305464,finland,ence,25
2305467,cs:go team switzerland,mvp project,27
2305469,team romania cs:go,south africa,25
2305469,rsa,nexus,40
2305545,finland iesf,ence,29
2305545,finland,signature,43
2305555,finland iesf,ence,29
2305555,finland,ence,25
2310293,na'vi,natus vincere,60
2312069,na`vi.g2a,natus vincere,56
2312069,navi,natus vincere,50
2314760,navi.g2a,natus vincere,50
2308167,na`vi.g2a,natus vincere,56
2309429,na`vi.g2a,natus vincere,56
2310446,egn.pro,egeneration,57
2315030,space soldiers,flipsid3,43
2315030,grayhound gaming,mythic,40
2315031,french canadians,rise nation,45
2315031,team kinguin,teamone,57
2315032,flipsid3 tactics,space soldiers,31
2315032,mythic,space soldiers,17
2315034,team kinguin,grayhound,46
2315034,space soldiers,french canadians,33
2315036,french canadians,kinguin,36
2315037,mythic,rise nation,33
2315038,team kinguin,rise nation,44
2315038,grayhound gaming,rise nation,27
2315039,rise nation,kinguin,29
2315039,space soldiers,flipsid3,43
2315040,team kinguin,space soldiers,27
2315410,vage,vega squadron,50
2315410,vg,vega squadron,50
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
